CHEBI:"2-(2-amino-3-methoxyphenyl)chromen-4-one"	decreasesAmountOf	GO:"cell migration"
CHEBI:"2-(2-amino-3-methoxyphenyl)chromen-4-one"	decreasesAmountOf	GO:"cell proliferation"
CHEBI:"3',5'-cyclic GMP"	decreasesAmountOf	MESH:"Platelet Aggregation"
CHEBI:"3',5'-cyclic GMP"	increasesAmountOf	GO:vasodilation
CHEBI:"3-nitrotyrosine"	positiveCorrelation	MESH:"Reactive Nitrogen Species"
CHEBI:"3-nitrotyrosine"	positiveCorrelation	MESH:"Reactive Oxygen Species"
CHEBI:"4-hydroxynon-2-enal"	negativeCorrelation	MGI:Hp
CHEBI:"4-hydroxynon-2-enal"	negativeCorrelation	MGI:Hpx
CHEBI:"4-hydroxynon-2-enal"	positiveCorrelation	MESH:"Blood Transfusion"
CHEBI:"4-hydroxynon-2-enal"	positiveCorrelation	MESH:"Oxidative Stress"
CHEBI:"D-1,4-dithiothreitol"	decreasesAmountOf	MESH:"Lipid Peroxidation"
CHEBI:"L-arginine"	decreasesAmountOf	MESH:"Platelet Aggregation"
CHEBI:"L-arginine"	negativeCorrelation	MESH:"Pulmonary Embolism"
CHEBI:"N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine"	activityDirectlyNegativelyRegulatesActivityOf	CHEBI:"zinc(2+)"
CHEBI:"N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine"	decreasesAmountOf	CHEBI:"phosphatidyl-L-serine"
CHEBI:"N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine"	decreasesAmountOf	HM:"erythrocyte-endothelium adhesion"
CHEBI:"N-acetyl-L-cysteine"	decreasesAmountOf	HGNC:CD14
CHEBI:"N-acetyl-L-cysteine"	decreasesAmountOf	HGNC:CD86
CHEBI:"N-acetyl-L-cysteine"	decreasesAmountOf	HGNC:IL6
CHEBI:"N-acetyl-L-cysteine"	decreasesAmountOf	HGNC:TNF
CHEBI:"N-acetyl-L-cysteine"	decreasesAmountOf	SCOMP:"MHC Class II Complex"
CHEBI:"N-acetyl-L-cysteine"	increasesAmountOf	HGNC:IL10
CHEBI:"N-acetyl-L-cysteine"	increasesAmountOf	HGNC:MRC1
CHEBI:"N-acetyl-L-cysteine"	negativeCorrelation	HM:"macrophage M1 polarization"
CHEBI:"N-acetyl-L-cysteine"	positiveCorrelation	HGNC:MRC1
CHEBI:"alpha-tocopherol"	decreasesAmountOf	MESH:"Lipid Peroxidation"
CHEBI:"alpha-tocopherol"	decreasesAmountOf	MESH:"Reactive Oxygen Species"
CHEBI:"carbon monoxide"	decreases	MESH:Inflammation
CHEBI:"carbon monoxide"	decreasesAmountOf	CHEBI:heme
CHEBI:"carbon monoxide"	decreasesAmountOf	GO:"cell proliferation"
CHEBI:"carbon monoxide"	decreasesAmountOf	GO:"inflammatory response"
CHEBI:"carbon monoxide"	decreasesAmountOf	MGI:Prdx2
CHEBI:"carbon monoxide"	increasesAmountOf	MESH:Vasodilation
CHEBI:"carbon monoxide"	negativeCorrelation	HM:"vaso-occlusive crisis"
CHEBI:"carbon monoxide"	negativeCorrelation	HM:Thrombus
CHEBI:"carbon monoxide"	negativeCorrelation	MESH:"Vascular System Injuries"
CHEBI:"carbon monoxide"	negativeCorrelation	MGI:Nfkb1
CHEBI:"carbon monoxide"	partOf	complex(a(CHEBI:"carbon monoxide"), a(CHEBI:"iron(2+)"), a(CHEBI:biliverdin))
CHEBI:"carbon monoxide"	partOf	complex(a(CHEBI:"carbon monoxide"), a(CHEBI:heme), p(HGNC:FGA))
CHEBI:"carbon monoxide"	partOf	complex(a(CHEBI:"carbon monoxide"), p(HGNC:HBB))
CHEBI:"carbon monoxide"	positiveCorrelation	CHEBI:antioxidant
CHEBI:"carbon monoxide"	positiveCorrelation	CHEBI:heme
CHEBI:"carbon monoxide"	positiveCorrelation	MGI:Hp
